"Year","PaperId","Title","OriginalPath","SolutionPath","CandidateCount","Status"
"2016","2016-全国III卷-理科","2016 年高考数学 全国III卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2016年全国统一高考数学试卷（理科）（新课标ⅲ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2016年全国统一高考数学试卷（理科）（新课标ⅲ）（含解析版）.doc","1","pending"
"2016","2016-全国III卷-文科","2016 年高考数学 全国III卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2016年全国统一高考数学试卷（文科）（新课标ⅲ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2016年全国统一高考数学试卷（文科）（新课标ⅲ）（含解析版）.doc","1","pending"
"2016","2016-全国II卷-理科","2016 年高考数学 全国II卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2016年全国统一高考数学试卷（理科）（新课标ⅱ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2016年全国统一高考数学试卷（理科）（新课标ⅱ）（含解析版）.doc","1","pending"
"2016","2016-全国II卷-文科","2016 年高考数学 全国II卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2016年全国统一高考数学试卷（文科）（新课标ⅱ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2016年全国统一高考数学试卷（文科）（新课标ⅱ）（含解析版）.doc","1","pending"
"2016","2016-全国I卷-理科","2016 年高考数学 全国I卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2016年全国统一高考数学试卷（理科）（新课标ⅰ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2016年全国统一高考数学试卷（理科）（新课标ⅰ）（含解析版）.doc","1","pending"
"2016","2016-全国I卷-文科","2016 年高考数学 全国I卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2016年全国统一高考数学试卷（文科）（新课标ⅰ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2016年全国统一高考数学试卷（文科）（新课标ⅰ）（含解析版）.doc","1","pending"
"2017","2017-全国III卷-理科","2017 年高考数学 全国III卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2017年全国统一高考数学试卷（理科）（新课标ⅲ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2017年全国统一高考数学试卷（理科）（新课标ⅲ）（含解析版）.doc","1","pending"
"2017","2017-全国III卷-文科","2017 年高考数学 全国III卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2017年全国统一高考数学试卷（文科）（新课标ⅲ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2017年全国统一高考数学试卷（文科）（新课标ⅲ）（含解析版）.doc","1","pending"
"2017","2017-全国II卷-理科","2017 年高考数学 全国II卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2017年全国统一高考数学试卷（理科）（新课标ⅱ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2017年全国统一高考数学试卷（理科）（新课标ⅱ）（含解析版）.doc","1","pending"
"2017","2017-全国II卷-文科","2017 年高考数学 全国II卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2017年全国统一高考数学试卷（文科）（新课标ⅱ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2017年全国统一高考数学试卷（文科）（新课标ⅱ）（含解析版）.doc","1","pending"
"2017","2017-全国I卷-理科","2017 年高考数学 全国I卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2017年全国统一高考数学试卷（理科）（新课标ⅰ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2017年全国统一高考数学试卷（理科）（新课标ⅰ）（含解析版）.doc","1","pending"
"2017","2017-全国I卷-文科","2017 年高考数学 全国I卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2017年全国统一高考数学试卷（文科）（新课标ⅰ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2017年全国统一高考数学试卷（文科）（新课标ⅰ）（含解析版）.doc","1","pending"
"2018","2018-全国III卷-理科","2018 年高考数学 全国III卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2018年全国统一高考数学试卷（理科）（新课标ⅲ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2018年全国统一高考数学试卷（理科）（新课标ⅲ）（含解析版）.doc","1","pending"
"2018","2018-全国III卷-文科","2018 年高考数学 全国III卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2018年全国统一高考数学试卷（文科）（新课标ⅲ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2018年全国统一高考数学试卷（文科）（新课标ⅲ）（含解析版）.doc","1","pending"
"2018","2018-全国II卷-理科","2018 年高考数学 全国II卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2018年全国统一高考数学试卷（理科）（新课标ⅱ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2018年全国统一高考数学试卷（理科）（新课标ⅱ）（含解析版）.doc","1","pending"
"2018","2018-全国II卷-文科","2018 年高考数学 全国II卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2018年全国统一高考数学试卷（文科）（新课标ⅱ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2018年全国统一高考数学试卷（文科）（新课标ⅱ）（含解析版）.doc","1","pending"
"2018","2018-全国I卷-理科","2018 年高考数学 全国I卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2018年全国统一高考数学试卷（理科）（新课标ⅰ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2018年全国统一高考数学试卷（理科）（新课标ⅰ）（含解析版）.doc","1","pending"
"2018","2018-全国I卷-文科","2018 年高考数学 全国I卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2018年全国统一高考数学试卷（文科）（新课标ⅰ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2018年全国统一高考数学试卷（文科）（新课标ⅰ）（含解析版）.doc","1","pending"
"2019","2019-全国III卷-理科","2019 年高考数学 全国III卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2019年全国统一高考数学试卷（理科）（新课标ⅲ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2019年全国统一高考数学试卷（理科）（新课标ⅲ）（含解析版）.doc","1","pending"
"2019","2019-全国III卷-文科","2019 年高考数学 全国III卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2019年全国统一高考数学试卷（文科）（新课标ⅲ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2019年全国统一高考数学试卷（文科）（新课标ⅲ）（含解析版）.doc","1","pending"
"2019","2019-全国II卷-理科","2019 年高考数学 全国II卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2019年全国统一高考数学试卷（理科）（新课标ⅱ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2019年全国统一高考数学试卷（理科）（新课标ⅱ）（含解析版）.doc","1","pending"
"2019","2019-全国II卷-文科","2019 年高考数学 全国II卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2019年全国统一高考数学试卷（文科）（新课标ⅱ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2019年全国统一高考数学试卷（文科）（新课标ⅱ）（含解析版）.doc","1","pending"
"2019","2019-全国I卷-理科","2019 年高考数学 全国I卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2019年全国统一高考数学试卷（理科）（新课标ⅰ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2019年全国统一高考数学试卷（理科）（新课标ⅰ）（含解析版）.doc","1","pending"
"2019","2019-全国I卷-文科","2019 年高考数学 全国I卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2019年全国统一高考数学试卷（文科）（新课标ⅰ）（含解析版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2019年全国统一高考数学试卷（文科）（新课标ⅰ）（含解析版）.doc","1","pending"
"2020","2020-全国III卷-理科","2020 年高考数学 全国III卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2020年高考真题——数学（理）（全国卷Ⅲ）+Word版含答案.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2020年高考真题——数学（理）（全国卷Ⅲ）+Word版含解析.doc","2","pending"
"2020","2020-全国III卷-文科","2020 年高考数学 全国III卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2020年高考真题——数学（文）（全国卷Ⅲ）+Word版含答案.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2020年高考真题——数学（文）（全国卷Ⅲ）+Word版含解析.doc","2","pending"
"2020","2020-全国II卷-理科","2020 年高考数学 全国II卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2020年高考真题——数学试卷（理科）（新课标Ⅱ）（原卷版）.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2020年高考真题——数学试卷（理科）（新课标Ⅱ）（解析版）.doc","2","pending"
"2020","2020-全国II卷-文科","2020 年高考数学 全国II卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2020年高考真题——数学试卷（文科）（新课标Ⅱ）（原卷版）.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2020年高考真题——数学试卷（文科）（新课标Ⅱ）（解析版）.doc","2","pending"
"2020","2020-全国I卷-理科","2020 年高考数学 全国I卷-理科","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2020年高考真题——数学（理）（全国卷Ⅰ）+Word版含答案.doc","E:\Guanghui\teaching\高考真题\高考理科数学全国123卷2007-2020\2020年高考真题——数学（理）（全国卷Ⅰ）+Word版含解析.doc","2","pending"
"2020","2020-全国I卷-文科","2020 年高考数学 全国I卷-文科","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2020年高考真题——数学（文）（全国卷Ⅰ）+Word版含答案.doc","E:\Guanghui\teaching\高考真题\高考文科数学全国123卷2008-2020\2020年高考真题——数学（文）（全国卷Ⅰ）+Word版含解析.doc","2","pending"
"2021","2021-北京卷","2021 年高考数学 北京卷","E:\Guanghui\teaching\高考真题\2021北京高考数学\2021年北京市高考数学试题（原卷版）.doc","E:\Guanghui\teaching\高考真题\2021北京高考数学\2021年北京市高考数学试题（解析版）.doc","2","pending"
"2021","2021-全国甲卷-理科","2021 年高考数学 全国甲卷-理科","E:\Guanghui\teaching\高考真题\2021全国甲卷—数学（理）\A4 Word版\2021年全国高考甲卷数学（理）试题（原卷版）.doc","E:\Guanghui\teaching\高考真题\2021全国甲卷—数学（理）\A4 Word版\2021年全国高考甲卷数学（理）试题（解析版）.doc","2","pending"
"2021","2021-全国甲卷-文科","2021 年高考数学 全国甲卷-文科","E:\Guanghui\teaching\高考真题\2021全国甲卷—数学（文）\A4 Word版\2021年全国高考甲卷数学（文）试题（原卷版）.doc","E:\Guanghui\teaching\高考真题\2021全国甲卷—数学（文）\A4 Word版\2021年全国高考甲卷数学（文）试题（解析版）.doc","4","pending"
"2021","2021-全国乙卷-理科","2021 年高考数学 全国乙卷-理科","E:\Guanghui\teaching\高考真题\2021全国乙卷-数学（理）\2021年全国统一高考数学试卷（理科）全国乙（原卷版）.docx","E:\Guanghui\teaching\高考真题\2021全国乙卷-数学（理）\2021年全国统一高考数学试卷（理科）全国乙（含解析版）.doc","2","pending"
"2021","2021-全国乙卷-文科","2021 年高考数学 全国乙卷-文科","E:\Guanghui\teaching\高考真题\2021全国乙卷—数学（文）\2021年全国统一高考数学试卷（文科）全国乙卷（原卷版）.doc","E:\Guanghui\teaching\高考真题\2021全国乙卷—数学（文）\2021年全国统一高考数学试卷（文科）全国乙卷（含解析版）.doc","2","pending"
"2021","2021-上海春季卷","2021 年高考数学 上海春季卷","E:\Guanghui\teaching\高考真题\2021年上海市春季高考数学试卷.doc","E:\Guanghui\teaching\高考真题\2021年上海市春季高考数学试卷.doc","1","pending"
"2021","2021-上海卷","2021 年高考数学 上海卷","E:\Guanghui\teaching\高考真题\2021年上海市夏季高考数学试卷.doc","E:\Guanghui\teaching\高考真题\2021年上海市夏季高考数学试卷.doc","1","pending"
"2021","2021-天津卷","2021 年高考数学 天津卷","E:\Guanghui\teaching\高考真题\2021年天津市高考数学试卷（原卷版）.doc","E:\Guanghui\teaching\高考真题\2021年天津市高考数学试卷（解析版）.doc","2","pending"
"2021","2021-新高考II卷","2021 年高考数学 新高考II卷","E:\Guanghui\teaching\高考真题\2021全国新高考2卷数学\2021年全国新高考II卷数学试题（原卷版）.doc","E:\Guanghui\teaching\高考真题\2021全国新高考2卷数学\2021年全国新高考II卷数学试题（解析版）.doc","2","pending"
"2021","2021-新高考I卷","2021 年高考数学 新高考I卷","E:\Guanghui\teaching\高考真题\2021新高考1卷数学\2021年全国新高考Ⅰ卷数学试题（原卷版）.doc","E:\Guanghui\teaching\高考真题\2021新高考1卷数学\2021年全国新高考Ⅰ卷数学试题（解析版）.doc","2","pending"
"2021","2021-浙江卷","2021 年高考数学 浙江卷","E:\Guanghui\teaching\高考真题\2021年浙江卷—数学\A4 Word版\2021年浙江省高考数学试题（原卷版）.doc","E:\Guanghui\teaching\高考真题\2021年浙江卷—数学\A4 Word版\2021年浙江省高考数学试题（解析版）.doc","4","pending"
"2022","2022-北京卷","2022 年高考数学 北京卷","E:\Guanghui\teaching\高考真题\2022北京卷-数学\精品解析：2022年北京市高考数学试题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2022北京卷-数学\精品解析：2022年北京市高考数学试题（解析版）.docx","2","pending"
"2022","2022-全国甲卷-理科","2022 年高考数学 全国甲卷-理科","E:\Guanghui\teaching\高考真题\2022年全国甲卷-数学\精品解析：2022年高考全国甲卷数学（理）真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2022年全国甲卷-数学\精品解析：2022年高考全国甲卷数学（理）真题（解析版）.docx","2","pending"
"2022","2022-全国甲卷-文科","2022 年高考数学 全国甲卷-文科","E:\Guanghui\teaching\高考真题\2022年全国甲卷-数学\2022年全国甲卷数学（文科）高考真题文档版（原卷）.docx","E:\Guanghui\teaching\高考真题\2022年全国甲卷-数学\2022年全国甲卷数学（文科）高考真题文档版（答案）.docx","2","pending"
"2022","2022-全国乙卷-理科","2022 年高考数学 全国乙卷-理科","E:\Guanghui\teaching\高考真题\2022年全国乙卷-数学\精品解析：2022年全国高考乙卷数学（理）试题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2022年全国乙卷-数学\精品解析：2022年全国高考乙卷数学（理）试题（解析版）.docx","2","pending"
"2022","2022-全国乙卷-文科","2022 年高考数学 全国乙卷-文科","E:\Guanghui\teaching\高考真题\2022年全国乙卷-数学\精品解析：2022年高考全国乙卷数学（文）真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2022年全国乙卷-数学\精品解析：2022年高考全国乙卷数学（文）真题（解析版）.docx","2","pending"
"2022","2022-上海卷","2022 年高考数学 上海卷","E:\Guanghui\teaching\高考真题\2022上海卷-数学\2022年上海市高考数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2022上海卷-数学\2022年上海市高考数学真题（解析版）.docx","2","pending"
"2022","2022-天津卷","2022 年高考数学 天津卷","E:\Guanghui\teaching\高考真题\2022年天津卷-数学\精品解析：2022年新高考天津数学高考真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2022年天津卷-数学\精品解析：2022年新高考天津数学高考真题（解析版）.docx","2","pending"
"2022","2022-新高考II卷","2022 年高考数学 新高考II卷","E:\Guanghui\teaching\高考真题\2022年新高考II卷-数学\精品解析：2022年新高考全国II卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2022年新高考II卷-数学\精品解析：2022年新高考全国II卷数学真题（解析版）.docx","2","pending"
"2022","2022-新高考I卷","2022 年高考数学 新高考I卷","E:\Guanghui\teaching\高考真题\2022年新高考I卷-数学\精品解析：2022年全国新高考I卷数学试题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2022年新高考I卷-数学\精品解析：2022年全国新高考I卷数学试题（解析版）.docx","2","pending"
"2022","2022-浙江卷","2022 年高考数学 浙江卷","E:\Guanghui\teaching\高考真题\2022浙江卷-6月份数学\精品解析：2022年浙江省高考数学试题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2022浙江卷-6月份数学\精品解析：2022年浙江省高考数学试题（解析版）.docx","2","pending"
"2023","2023-北京卷","2023 年高考数学 北京卷","E:\Guanghui\teaching\高考真题\2023年新高考北京卷-数学\精品解析：2023年北京高考数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2023年新高考北京卷-数学\精品解析：2023年北京高考数学真题（解析版）.docx","2","pending"
"2023","2023-全国甲卷-理科","2023 年高考数学 全国甲卷-理科","E:\Guanghui\teaching\高考真题\2023年全国甲卷-数学（文，理）\2023年高考全国甲卷-数学（理）\精品解析：2023年高考全国甲卷数学(理)真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2023年全国甲卷-数学（文，理）\2023年高考全国甲卷-数学（理）\精品解析：2023年高考全国甲卷数学(理)真题（解析版）.docx","2","pending"
"2023","2023-全国甲卷-文科","2023 年高考数学 全国甲卷-文科","E:\Guanghui\teaching\高考真题\2023年全国甲卷-数学（文，理）\精品解析：2023年高考全国甲卷数学(文)真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2023年全国甲卷-数学（文，理）\精品解析：2023年高考全国甲卷数学(文)真题（解析版）.docx","2","pending"
"2023","2023-全国乙卷-理科","2023 年高考数学 全国乙卷-理科","E:\Guanghui\teaching\高考真题\2023年全国乙卷-理科数学\精品解析：2023年高考全国乙卷数学(理)真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2023年全国乙卷-理科数学\精品解析：2023年高考全国乙卷数学(理)真题（解析版）.docx","2","pending"
"2023","2023-全国乙卷-文科","2023 年高考数学 全国乙卷-文科","E:\Guanghui\teaching\高考真题\2023年全国乙卷-文科数学\精品解析：2023年高考全国乙卷数学(文)真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2023年全国乙卷-文科数学\精品解析：2023年高考全国乙卷数学(文)真题（解析版）.docx","2","pending"
"2023","2023-上海卷","2023 年高考数学 上海卷","E:\Guanghui\teaching\高考真题\2023年上海卷-数学\2023年上海市高考数学真题（原卷版）.doc","E:\Guanghui\teaching\高考真题\2023年上海卷-数学\2023年上海市高考数学真题（答案版）.doc","2","pending"
"2023","2023-天津卷","2023 年高考数学 天津卷","E:\Guanghui\teaching\高考真题\2023天津卷-数学\精品解析：2023年新高考天津数学高考真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2023天津卷-数学\精品解析：2023年新高考天津数学高考真题（解析版）.docx","2","pending"
"2023","2023-新高考II卷","2023 年高考数学 新高考II卷","E:\Guanghui\teaching\高考真题\2023年新课标全国II卷-数学\精品解析：2023年新课标全国Ⅱ卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2023年新课标全国II卷-数学\精品解析：2023年新课标全国Ⅱ卷数学真题（解析版）.docx","2","pending"
"2023","2023-新高考I卷","2023 年高考数学 新高考I卷","E:\Guanghui\teaching\高考真题\2023年新课标全国I卷-数学\精品解析：2023年新课标全国Ⅰ卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2023年新课标全国I卷-数学\精品解析：2023年新课标全国Ⅰ卷数学真题（解析版）.docx","2","pending"
"2024","2024-北京卷","2024 年高考数学 北京卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新高考北京卷数学高考真题解析（参考版）\精品解析：2024年北京高考数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新高考北京卷数学高考真题解析（参考版）\精品解析：2024年北京高考数学真题（解析版）.docx","2","pending"
"2024","2024-全国甲卷-理科","2024 年高考数学 全国甲卷-理科","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年高考全国甲卷数学（理）高考真题解析（参考版）\精品解析：2024年高考全国甲卷数学(理)真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年高考全国甲卷数学（理）高考真题解析（参考版）\精品解析：2024年高考全国甲卷数学(理)真题（解析版）.docx","2","pending"
"2024","2024-全国甲卷-文科","2024 年高考数学 全国甲卷-文科","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年高考全国甲卷数学（文）高考真题解析（参考版）\精品解析：2024年高考全国甲卷数学(文)真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年高考全国甲卷数学（文）高考真题解析（参考版）\精品解析：2024年高考全国甲卷数学(文)真题（解析版）.docx","2","pending"
"2024","2024-上海卷","2024 年高考数学 上海卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年上海夏季高考数学真题（网络回忆版）\精品解析：2024年上海夏季高考数学真题（网络回忆版）（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年上海夏季高考数学真题（网络回忆版）\精品解析：2024年上海夏季高考数学真题（网络回忆版）（解析版）.docx","2","pending"
"2024","2024-天津卷","2024 年高考数学 天津卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新高考天津数学高考真题解析（参考版）\精品解析：2024年天津高考数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新高考天津数学高考真题解析（参考版）\精品解析：2024年天津高考数学真题（解析版）.docx","2","pending"
"2024","2024-新高考II卷","2024 年高考数学 新高考II卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新课标全国Ⅱ卷数学高考真题解析（参考版）\精品解析：2024年新课标全国Ⅱ卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新课标全国Ⅱ卷数学高考真题解析（参考版）\精品解析：2024年新课标全国Ⅱ卷数学真题（解析版）.docx","2","pending"
"2024","2024-新高考I卷","2024 年高考数学 新高考I卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新课标全国Ⅰ卷数学高考真题解析（参考版）\精品解析：2024年新课标全国Ⅰ卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新课标全国Ⅰ卷数学高考真题解析（参考版）\精品解析：2024年新课标全国Ⅰ卷数学真题（解析版）.docx","2","pending"
"2025","2025-全国II卷","2025 年高考数学 全国II卷","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考全国二卷数学高考真题解析（参考版）\精品解析：2025年高考全国二卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考全国二卷数学高考真题解析（参考版）\精品解析：2025年高考全国二卷数学真题（解析版）.docx","2","pending"
"2025","2025-全国I卷","2025 年高考数学 全国I卷","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考全国一卷数学高考真题解析（参考版）\精品解析：2025年高考全国一卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考全国一卷数学高考真题解析（参考版）\精品解析：2025年高考全国一卷数学真题（解析版）.docx","2","pending"
"2025","2025-上海卷","2025 年高考数学 上海卷","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考上海卷数学高考真题解析（参考版）\精品解析：2025年高考上海卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考上海卷数学高考真题解析（参考版）\精品解析：2025年高考上海卷数学真题（解析版）.docx","2","pending"
"2025","2025-天津卷","2025 年高考数学 天津卷","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考天津卷数学高考真题解析（参考版）\精品解析：2025年高考天津卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考天津卷数学高考真题解析（参考版）\精品解析：2025年高考天津卷数学真题（解析版）.docx","2","pending"
