"Year","PaperId","Question","Issue"
"2016","2016-全国III卷-理科","4","原卷雷达图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","7","原卷程序框图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","9","原卷三视图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","13","原卷约束条件平面区域图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","18","原卷折线图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","19","原卷四棱锥图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-理科","22","原卷圆图没有提供, 这里根据解析版文本描述了图片."
"2016","2016-全国III卷-文科","2","原卷中 ' ' 应为分数形式, 根据解析版修复为 $\dfrac{4}{5}-\dfrac{3}{5}i$."
"2016","2016-全国III卷-文科","3","原卷中向量坐标缺失, 根据解析版补全为 $(\frac{1}{2},\frac{\sqrt{3}}{2})$ 和 $(\frac{\sqrt{3}}{2},\frac{1}{2})$."
"2016","2016-全国III卷-文科","5","原卷选项中概率值缺失, 根据解析版补全为 $\frac{1}{15}$."
"2016","2016-全国III卷-文科","6","原卷选项中分数形式缺失, 根据解析版补全."
"2016","2016-全国III卷-文科","7","原卷中 $a,b,c$ 表达式不完整, 根据解析版补全为 $a=2^{\frac{4}{3}}$, $b=4^{\frac{2}{5}}$, $c=25^{\frac{1}{3}}$."
"2016","2016-全国III卷-文科","9","原卷中角 $B$ 和 $\sin A$ 表达式缺失, 根据解析版补全."
"2016","2016-全国III卷-文科","13","原卷中约束条件不完全, 根据解析版补全."
"2016","2016-全国III卷-文科","14","原卷中函数表达式不完整, 根据解析版补全."
"2016","2016-全国III卷-文科","15","原卷中直线方程系数缺失, 根据解析版补全."
"2016","2016-全国III卷-文科","16","原卷中 $f(x)$ 表达式不完整, 根据解析版补全为 $e^{-x-1}-x$."
"2016","2016-全国III卷-文科","17","原卷中递推式 $an2$ 应为 $a_n^2$, 根据解析版修复."
"2016","2016-全国III卷-文科","23","原卷中参数方程不完整, 根据解析版补全."
"2016","2016-全国III卷-文科","10","题图未能自动匹配：原卷第 2 页，多面体的三视图"
"2016","2016-全国II卷-理科","19","解析中二面角正弦值的常见答案为$\frac{2\sqrt{29}}{29}$，但按照解答中法向量计算结果为$\frac{3\sqrt{41}}{25}$，二者不一致，此处采用常见答案，需进一步核查."
"2016","2016-全国II卷-理科","6","题图未能自动匹配：原卷第 1 页，三视图"
"2016","2016-全国II卷-理科","19","题图未能自动匹配：原卷第 4 页，菱形ABCD及折叠后的几何图形"
"2016","2016-全国II卷-文科","3","原卷选项A中为“y=2sin(2x-       )”，空格处根据解析版补全为$\frac{\pi}{6}$，但原卷印刷可能不清。"
"2016","2016-全国II卷-文科","4","原卷中选项B为“B.      π   ”，根据解析版确认为$\frac{32}{3}\pi$。"
"2016","2016-全国II卷-文科","5","原卷中选项A为“A.             ”，根据解析版确认为$\frac{1}{2}$。"
"2016","2016-全国II卷-文科","6","原卷中选项A为“A.﹣            ”，根据解析版确认为$-\frac{4}{3}$。"
"2016","2016-全国II卷-文科","8","原卷中选项A为“A.               ”，根据解析版确认为$\frac{1}{2}$。"
"2016","2016-全国II卷-文科","10","原卷中选项D为“D. y=”，根据解析版补全为$y=\frac{1}{\sqrt{x}}$。"
"2016","2016-全国II卷-文科","11","原卷第11题中“6cos（   ﹣x）”根据解析版补全为$6\cos(\frac{\pi}{2}-x)$。"
"2016","2016-全国II卷-文科","14","原卷中约束条件不完整，根据解析版补全。"
"2016","2016-全国II卷-文科","15","原卷中cosC的值被遮挡，根据解析版确认为$\frac{5}{13}$。"
"2016","2016-全国II卷-文科","16","原卷答案“1和3”根据解析版确认。"
"2016","2016-全国II卷-文科","17","原卷解答中公式部分乱码，根据解析版修复。"
"2016","2016-全国II卷-文科","7","题图未能自动匹配：原卷第 1 页，圆柱与圆锥组合体的三视图。"
"2016","2016-全国I卷-理科","7","原卷中选择题第7题的选项为图像描述，文本中无法准确再现图像，已使用占位符'A图像'等，实际答案依据解析版确认为D。"
"2016","2016-全国I卷-理科","12","原卷中f(x)在区间(\frac{\pi}{18},\frac{5\pi}{36})上单调，解析版中使用了分数，已采用。"
"2016","2016-全国I卷-理科","21","解析版中第21题分析部分有缺字，已根据上下文补充完整。"
"2016","2016-全国I卷-理科","19","原卷第19题柱状图数据在文本中缺失，解析版中提供了概率计算，已基于解析版还原分布列。"
"2016","2016-全国I卷-理科","11","题图未能自动匹配：原卷第 3 页，正方体示意图，标注平面α及相关交线。"
"2016","2016-全国I卷-理科","16","题图未能自动匹配：原卷第 3 页，线性规划可行域图。"
"2016","2016-全国I卷-理科","22","题图未能自动匹配：原卷第 5 页，几何图形，等腰三角形OAB，以O为圆心画圆，过A、B、C、D四点。"
"2016","2016-全国I卷-文科","7","题图未能自动匹配：原卷第 1 页，几何体的三视图，三个半径相等的圆及每个圆中两条相互垂直的半径。"
"2017","2017-全国III卷-理科","16","解析中出现了无意义的反斜杠，已在输出中删除。"
"2017","2017-全国III卷-理科","19","最后一步计算二面角余弦值的结果在解析版中为$\frac{\sqrt{10}}{10}$，但计算过程显示为$\frac{2\sqrt{7}}{7}$，可能存在计算错误，但基于解析版文本输出。"
"2017","2017-全国III卷-理科","16","题图未能自动匹配：原卷第 3 页，正方体示意图，显示直线a、b、AC相互垂直，以及点B运动的圆"
"2017","2017-全国III卷-理科","16","题图未能自动匹配：原卷第 3 页，正方体示意图，显示直线a、b、AC相互垂直，以及点B运动的圆"
"2017","2017-全国III卷-理科","16","题图未能自动匹配：原卷第 3 页，正方体示意图，显示直线a、b、AC相互垂直，以及点B运动的圆"
"2017","2017-全国III卷-文科","4","原卷中sinα-cosα=后分数未显示，根据解析版确定为4/3。"
"2017","2017-全国III卷-文科","6","原卷中f(x)系数1/5未显示，根据解析版确定。"
"2017","2017-全国III卷-文科","9","原卷中圆柱体积选项未显示完整，根据解析版确定为3π/4。"
"2017","2017-全国III卷-文科","11","原卷中椭圆方程和选项分数未显示，根据解析版确定。"
"2017","2017-全国III卷-文科","12","原卷中a选项未显示分数，根据解析版确定为1/2。"
"2017","2017-全国III卷-文科","16","原卷中分段函数表达式和答案区间未完全显示，根据解析版确定。"
"2017","2017-全国II卷-理科","10","题图未能自动匹配：原卷第 2 页，直三棱柱及辅助线图。"
"2017","2017-全国II卷-理科","12","题图未能自动匹配：原卷第 3 页，等边三角形ABC及坐标系。"
"2017","2017-全国II卷-理科","10","题图未能自动匹配：原卷第 2 页，直三棱柱及辅助线图。"
"2017","2017-全国II卷-理科","12","题图未能自动匹配：原卷第 3 页，等边三角形ABC及坐标系。"
"2017","2017-全国II卷-理科","10","题图未能自动匹配：原卷第 2 页，直三棱柱及辅助线图。"
"2017","2017-全国II卷-理科","12","题图未能自动匹配：原卷第 3 页，等边三角形ABC及坐标系。"
"2017","2017-全国II卷-文科","3","原卷中f(x)=sin(2x+ )缺少相位, 解析版为sin(2x+π/3), 已采用解析版."
"2017","2017-全国II卷-文科","12","原卷中斜率为空白, 解析版为√3, 已采用."
"2017","2017-全国II卷-文科","19","频率分布直方图数据来自解析版, 原卷仅图示."
"2017","2017-全国I卷-理科","2","原卷选项中概率为分数，但具体数值被图片遮挡，解析版提供了具体选项，已采用解析版内容。"
"2017","2017-全国I卷-理科","7","原卷和解析版中选择题选项没有具体数值，但解析版答案给出了具体数值，已采用。"
"2017","2017-全国I卷-理科","9","原卷中 $C_2$ 的表达式 $y=\sin(2x+\frac{2\pi}{3})$ 中的相位 $\frac{2\pi}{3}$ 在原卷中显示为空白，解析版未明确，但根据解析版解答中的 $\sin(2x+\frac{2\pi}{3})$ 确定。"
"2017","2017-全国I卷-理科","16","原卷中答案格式为 $4\sqrt{15}$，解析版答案中有单位 $\text{cm}^3$，已补充。"
"2017","2017-全国I卷-理科","17","原卷中面积公式为 $\frac{a^2}{3\sin A}$，解析版没有明确，但根据解答过程确认。"
"2017","2017-全国I卷-理科","18","解析版中二面角余弦值计算部分，经手动推导与解析版给出的 $-\frac{\sqrt{3}}{3}$ 不一致，可能解析版有误或参数设定不同，此处按解析版输出。"
"2017","2017-全国I卷-理科","22","原卷中最大距离值 $\sqrt{17}$ 被遮挡，解析版明确为 $\sqrt{17}$，已采用。"
"2017","2017-全国I卷-文科","4","选项内容在原卷中未明确给出，根据解析版答案为1/8，但选项文字缺失，已根据常见题目补全为1/4,1/8,1/2,π/4，需确认。"
"2017","2017-全国I卷-文科","8","选项为图片，未给出具体函数解析式对应的图象，只提供了描述。"
"2017","2017-全国I卷-文科","12","解析中推导部分公式较复杂，可能有编码错误，但最终答案正确。"
"2017","2017-全国I卷-文科","22","解析中距离最大值计算部分，原卷文本中最大值为空白，解析版中为√17，但推导中出现了17，可能为笔误，按解析版处理。"
"2017","2017-全国I卷-文科","6","题图未能自动匹配：原卷第 1 页，四个正方体，A,B为顶点，M,N,Q为棱中点"
"2018","2018-全国III卷-理科","3","原卷第7页选项为A. B. C. D.图，无具体文字，从解析版确认选项A正确"
"2018","2018-全国III卷-理科","7","原卷第11页选项为A. B. C. D.图，无具体文字，从解析版确认选项D正确"
"2018","2018-全国III卷-理科","15","原卷第17页解析中f(x)=cos(3x+  )，根据上下文推断为cos(3x+π/6)"
"2018","2018-全国III卷-理科","19","原卷第5页半圆弧符号显示为\overgroup{CD}，解析版同样，保留"
"2018","2018-全国III卷-理科","3","题图未能自动匹配：原卷第 7 页，带卯眼的木构件俯视图的四个选项，A为内含虚线的长方形"
"2018","2018-全国III卷-理科","3","题图未能自动匹配：原卷第 7 页，带卯眼的木构件俯视图的四个选项，A为内含虚线的长方形"
"2018","2018-全国III卷-理科","3","题图未能自动匹配：原卷第 7 页，带卯眼的木构件俯视图的四个选项，A为内含虚线的长方形"
"2018","2018-全国III卷-文科","1","原卷中集合 $A=\{x|x-1\ge0\}$ 的符号可能有误，但解析版确认正确。"
"2018","2018-全国III卷-文科","3","原卷中第3题的选项为图片，无法从文本中获取具体形状，仅根据解析版判断答案为A。"
"2018","2018-全国III卷-文科","4","原卷中 $\sin\alpha$ 的值未显示，根据解析版补充为 $\frac{1}{3}$。"
"2018","2018-全国III卷-文科","6","原卷中函数 $f(x)=\frac{\tan x}{1+\tan^2 x}$ 的解析式文本层有误，根据解析版修正。"
"2018","2018-全国III卷-文科","10","原卷中双曲线方程和离心率数字有缺失，根据解析版补充。"
"2018","2018-全国III卷-文科","12","原卷中 $\triangle ABC$ 的面积为 $9\sqrt{3}$，但文本层显示不全，根据解析版补充。"
"2018","2018-全国III卷-文科","15","原卷中约束条件可能有缺失，根据解析版补充完整。"
"2018","2018-全国III卷-文科","16","原卷中函数 $f(x)=\ln(\sqrt{1+x^2}-x)+1$ 的表达式文本层有误，根据解析版修正。"
"2018","2018-全国III卷-文科","22","原卷中 $\odot O$ 的参数方程未完整显示，根据解析版补充。"
"2018","2018-全国III卷-文科","3","题图未能自动匹配：原卷第 7 页，解析版中第3题的图，显示榫卯结构俯视图选项"
"2018","2018-全国II卷-理科","3","原卷中函数f(x)的表达式缺失，根据解析版补为f(x)=(e^x-e^{-x})/x^2"
"2018","2018-全国II卷-理科","7","原卷中程序框图缺失，根据解析版补充说明"
"2018","2018-全国II卷-理科","9","原卷第12页AA1的值显示不完整，根据解析版补为√3"
"2018","2018-全国II卷-理科","18","原卷中折线图缺失，需确认图形信息"
"2018","2018-全国II卷-理科","20","原卷第23页空间直角坐标系建立描述缺失，根据解析版补充"
"2018","2018-全国II卷-文科","3","原卷中函数表达式缺失，根据解析版补充为 $f(x)=\frac{e^x-e^{-x}}{x^2}$。"
"2018","2018-全国II卷-文科","6","原卷离心率显示为空白，根据解析版补充为 $\sqrt{3}$。"
"2018","2018-全国II卷-文科","7","原卷中 $\cos\frac{C}{2}$ 值缺失，根据解析版补充为 $\frac{\sqrt{5}}{5}$。"
"2018","2018-全国II卷-文科","15","原卷中角度显示不全，根据解析版补充为 $\tan(\alpha-\frac{5\pi}{4})$。"
"2018","2018-全国II卷-文科","22","原卷曲线C参数方程缺失，根据解析版补充为 $\begin{cases} x=2\cos\theta \\ y=4\sin\theta \end{cases}$。"
"2018","2018-全国I卷-理科","1","原卷中z的表达式为'z=   +2i'，根据解析版补充为'z=\frac{1-i}{1+i}+2i'。"
"2018","2018-全国I卷-理科","8","原卷中直线斜率为'斜率为 的直线'，根据解析版补充为'斜率为\frac{2}{3}'。"
"2018","2018-全国I卷-理科","9","原卷中f(x)的表达式不完整，根据解析版补充为分段函数。"
"2018","2018-全国I卷-理科","11","原卷中双曲线方程'﹣y2=1'缺失分母，根据解析版补充为'\frac{x^2}{3}-y^2=1'。"
"2018","2018-全国I卷-理科","6","原卷中向量表达式缺失，根据解析版补充为'\overrightarrow{EB}'。"
"2018","2018-全国I卷-理科","10","题图未能自动匹配：原卷第 2 页，希波克拉底几何图形"
"2018","2018-全国I卷-文科","3","饼图内容文字描述，无图片；原卷第3题题干中饼图无法从文本层获取数据，已根据解析版补充比例。"
"2018","2018-全国I卷-文科","12","题图未能自动匹配：原卷第 2 页，分段函数图像：x<=0时递减，x>0时水平线y=1。"
"2018","2018-全国I卷-文科","19","题图未能自动匹配：原卷第 4 页，频率分布直方图：横轴为日用水量区间，纵轴为频率/组距，各区间矩形高度分别为0.2,1.0,2.6,2.0,3.2,1.0。"
"2018","2018-全国I卷-文科","12","题图未能自动匹配：原卷第 2 页，分段函数图像：x<=0时递减，x>0时水平线y=1。"
"2018","2018-全国I卷-文科","19","题图未能自动匹配：原卷第 4 页，频率分布直方图：横轴为日用水量区间，纵轴为频率/组距，各区间矩形高度分别为0.2,1.0,2.6,2.0,3.2,1.0。"
"2018","2018-全国I卷-文科","12","题图未能自动匹配：原卷第 2 页，分段函数图像：x<=0时递减，x>0时水平线y=1。"
"2018","2018-全国I卷-文科","19","题图未能自动匹配：原卷第 4 页，频率分布直方图：横轴为日用水量区间，纵轴为频率/组距，各区间矩形高度分别为0.2,1.0,2.6,2.0,3.2,1.0。"
"2018","2018-全国I卷-文科","12","题图未能自动匹配：原卷第 2 页，分段函数图像：x<=0时递减，x>0时水平线y=1。"
"2018","2018-全国I卷-文科","19","题图未能自动匹配：原卷第 4 页，频率分布直方图：横轴为日用水量区间，纵轴为频率/组距，各区间矩形高度分别为0.2,1.0,2.6,2.0,3.2,1.0。"
"2019","2019-全国III卷-理科","9","原卷选项C为$2-\dfrac{1}{26}$，D为$2-\dfrac{1}{27}$，解析版答案为D但解析中输出$S=2-\dfrac{1}{2^6}$，对应C。实际执行程序输出应为$2-\dfrac{1}{2^6}=2-\dfrac{1}{64}$，而选项C的$\dfrac{1}{26}$可能为$\dfrac{1}{2^6}$的笔误。本题答案以原卷选项为准，选C。"
"2019","2019-全国III卷-理科","12","解析版中有的地方出现$\frac{1}{5}\leq wx+\frac{\pi}{5}\leq 2\pi w+\frac{\pi}{5}$，但实际应为$\frac{\pi}{5}\leq \omega x+\frac{\pi}{5}\leq 2\pi \omega+\frac{\pi}{5}$，已修正。"
"2019","2019-全国III卷-理科","23","原题第二问要求证明$a\le -3$或$a\ge -1$，但解析中最初推导错误，后已更正为正确解法。"
"2019","2019-全国III卷-理科","19","题图未能自动匹配：原卷第 5 页，图1：平面图形；图2：折起后的立体图形"
"2019","2019-全国III卷-文科","12","原卷中题号5与解析版中底数不一致，原卷为log3，解析版为log5，但根据答案和解析，应为log3；原卷中指数位置可能有误，根据解析推断正确指数为-3/2和-2/3；已按解析版修正。"
"2019","2019-全国III卷-文科","9","程序框图题，选项中的分母指数可能有误，根据解析输出S=2-1/2^6，对应选项D 2-1/2^7有冲突，但解析给出的值是2-1/2^6，而选项中的26实际对应2^6，解析中输出S=2(1-1/2^7)=2-1/2^6，故选择D 2-1/2^7可能是原文描述不一致，但根据计算应为2-1/2^6，但选项中没有该值，可能原题选项为2-1/2^6但文本识别有误，按解析版选择D。"
"2019","2019-全国III卷-文科","8","题图未能自动匹配：原卷第 1 页，立体几何图形：正方形ABCD，中心N，等边三角形ECD，M为ED中点"
"2019","2019-全国II卷-理科","4","原卷中方程格式异常（如 'M1' 等），已根据解析版修正。"
"2019","2019-全国II卷-理科","8","原卷椭圆方程中 '3p 和 p' 显示不清，解析版明确为 $3p$ 和 $p$。"
"2019","2019-全国II卷-理科","14","原卷中 $f(x)=-e^{ax}$ 和解析版中 $f(x)=-e^{-ax}$ 不一致，但根据奇函数性质及 $f(\ln 2)=8$ 应取 $f(x)=-e^{-ax}$，已采用解析版。"
"2019","2019-全国II卷-理科","16","原卷和解析版中棱长表达式有歧义，解析版最终写为 $\sqrt{2}-1$，且最后一行 'x-1' 应为笔误，已忽略。"
"2019","2019-全国II卷-理科","19","解析版答案中 $a_n = 2n + n - 2$ 应为排版错误，按推导应修正为 $a_n = \frac{1}{2^n} + n - \frac{1}{2}$，已采用正确形式。"
"2019","2019-全国II卷-理科","16","题图未能自动匹配：原卷第 1 页，图1：印信形状为半正多面体；图2：棱数为48的半正多面体，顶点在正方体表面上，正方体棱长为1。"
"2019","2019-全国II卷-理科","17","题图未能自动匹配：原卷第 1 页，长方体 ABCD-A1B1C1D1 的底面 ABCD 是正方形，点 E 在棱 AA1 上。"
"2019","2019-全国II卷-理科","16","题图未能自动匹配：原卷第 1 页，图1：印信形状为半正多面体；图2：棱数为48的半正多面体，顶点在正方体表面上，正方体棱长为1。"
"2019","2019-全国II卷-理科","17","题图未能自动匹配：原卷第 1 页，长方体 ABCD-A1B1C1D1 的底面 ABCD 是正方形，点 E 在棱 AA1 上。"
"2019","2019-全国II卷-理科","16","题图未能自动匹配：原卷第 1 页，图1：印信形状为半正多面体；图2：棱数为48的半正多面体，顶点在正方体表面上，正方体棱长为1。"
"2019","2019-全国II卷-理科","17","题图未能自动匹配：原卷第 1 页，长方体 ABCD-A1B1C1D1 的底面 ABCD 是正方形，点 E 在棱 AA1 上。"
"2019","2019-全国II卷-文科","16","原卷第16题第2空答案显示为""2-1""，疑应为""\sqrt{2}-1""，解析版确认了正确形式。"
"2019","2019-全国I卷-理科","5","原卷中函数表达式为 $f(x)=\frac{\sin x + x}{\cos x + x^2}$，解析版中为 $f(x)=\frac{\sin x + x}{\cos x + x^2}$，一致。图片描述来自原卷PAGE2。"
"2019","2019-全国I卷-理科","8","程序框图题目，原卷PAGE2-3有图，解析版未提供图。"
"2019","2019-全国I卷-理科","10","原卷中椭圆焦点为 $F_1(-1,0)$, $F_2(1,0)$，解析版中相同。答案选项B的方程在解析版中为 $\frac{x^2}{3}+\frac{y^2}{2}=1$，一致。"
"2019","2019-全国I卷-理科","16","题图未能自动匹配：原卷第 4 页，双曲线渐近线示意图"
"2019","2019-全国I卷-文科","5","原卷图片题，选项为图像描述，无法提取具体文字内容，使用A、B、C、D代替。"
"2019","2019-全国I卷-文科","9","程序框图为图片，仅提取文字部分。"
"2019","2019-全国I卷-文科","12","解析版中给出了两种解法，原卷答案标注为B，确认一致。"
"2019","2019-全国I卷-文科","21","原卷中|AB|=4，解析版中写为│AB│=4，已统一。"
"2019","2019-全国I卷-文科","22","原卷中C的参数方程和极坐标方程中的符号已修正。"
